word,definition
interface,a point where two systems subjects organizations etc. meet and interact
javascript,a programming language that is widely used to enable client-side scripting in web browsers
kernel,the central or most important part of something
library,a collection of books and periodicals held in a library or the body of texts images and other materials used by a computer program
malware,software that is specifically designed to disrupt damage or gain unauthorized access to a computer system
network,a group or system of interconnected people or things
opensource,denoting software for which the original source code is made freely available and may be redistributed and modified
protocol,the official procedure or system of rules governing affairs of state or diplomatic occasions
query,a question especially one addressed to an official or organization
router,a device that forwards data packets to the appropriate parts of a computer network
software,the programs and other operating information used by a computer
template,something that serves as a model for others to copy
unix,a powerful multitasking multi-user operating system
virtualization,the process of creating a virtual version of something such as an operating system server storage device or network resources
wireless,transmission of signals without the need for wires or cables
xml,a metalanguage that allows users to define their own customized markup languages especially in order to display documents on the Internet
youtube,a website on which users can post share and watch videos
compression,the reduction in size of data in order to save space or transmission time
debugging,the process of identifying and removing errors from computer hardware or software
ethernet,a system for connecting a number of computer systems to form a local area network with protocols to control the passing of information and to avoid simultaneous transmission by two or more systems
firewall,a part of a computer system or network that is designed to block unauthorized access while permitting outward communication
gigabyte,a unit of information equal to one billion (109) or strictly 230 bytes
hashing,the transformation of a string of characters into a usually shorter fixed-length value or key that represents the original string
interface,a point where two systems subjects organizations etc. meet and interact
javascript,a programming language that is widely used to enable client-side scripting in web browsers
kernel,the central or most important part of something
library,a collection of books and periodicals held in a library or the body of texts images and other materials used by a computer program
malware,software that is specifically designed to disrupt damage or gain unauthorized access to a computer system
network,a group or system of interconnected people or things
opensource,denoting software for which the original source code is made freely available and may be redistributed and modified
protocol,the official procedure or system of rules governing affairs of state or diplomatic occasions
query,a question especially one addressed to an official or organization
router,a device that forwards data packets to the appropriate parts of a computer network
software,the programs and other operating information used by a computer
template,something that serves as a model for others to copy
unix,a powerful multitasking multi-user operating system
virtualization,the process of creating a virtual version of something such as an operating system server storage device or network resources
wireless,transmission of signals without the need for wires or cables
xml,a metalanguage that allows users to define their own customized markup languages especially in order to display documents on the Internet
youtube,a website on which users can post share and watch videos
ambiguous,open to more than one interpretation having a double meaning
bureaucracy,a system of government in which most of the important decisions are made by state officials rather than by elected representatives
catastrophe,an event causing great and often sudden damage or suffering a disaster
deceptive,giving an appearance or impression different from the true one misleading
eloquent,fluent or persuasive in speaking or writing
frustration,the feeling of being upset or annoyed especially because of inability to change or achieve something
gregarious,(of a person) fond of company sociable
hazardous,risky dangerous
idiosyncrasy,a mode of behavior or way of thought peculiar to an individual
jubilant,feeling or expressing great happiness and triumph
kinetic,relating to or resulting from motion
luminous,full of or shedding light bright or shining especially in the dark
meticulous,showing great attention to detail very careful and precise
nostalgic,characterized by or exhibiting feelings of nostalgia
obnoxious,extremely unpleasant
paradox,a seemingly absurd or contradictory statement or proposition that when investigated may prove to be well founded or true
quintessential,representing the most perfect or typical example of a quality or class
rejuvenate,make (someone or something) look or feel younger fresher or more lively
serendipity,the occurrence and development of events by chance in a happy or beneficial way
tangible,perceptible by touch
ubiquitous,present appearing or found everywhere
vulnerable,susceptible to physical or emotional attack or harm
whimsical,playfully quaint or fanciful especially in an appealing and amusing way
xenial,of or relating to hospitality or relations between host and guest
youthful,having the appearance freshness vigor or other qualities of youth
zealous,having or showing zeal
adventure,an unusual and exciting or daring experience
brilliant,exceptionally clever or talented
community,a group of people living in the same place or having a particular characteristic in common
diversity,the state of being diverse variety
ecstatic,feeling or expressing overwhelming happiness or joyful excitement
fascinating,extremely interesting or attractive
grateful,feeling or showing an appreciation of kindness thankful
happiness,the state of being happy
innovative,(of a product idea etc.) featuring new methods advanced and original
joyful,feeling expressing or causing great pleasure and happiness
knowledge,facts information and skills acquired through experience or education the theoretical or practical understanding of a subject
laughter,the action or sound of laughing
magnificent,impressively beautiful elaborate or extravagant striking
nurturing,care for and encourage the growth or development of
optimistic,hopeful and confident about the future
passionate,showing or caused by strong feelings or a strong belief
quality,the standard of something as measured against other things of a similar kind the degree of excellence of something
radiant,sending out light shining or glowing brightly
success,the accomplishment of an aim or purpose
triumphant,having won
